id,title,description,availability,availability_date,expiration_date,link,mobile_link,image_link,price,sale_price,sale_price_effective_date,identifier_exists,gtin,mpn,brand,product_highlight,product_detail,additional_image_link,condition,adult,color,size,size_type,size_system,gender,material,pattern,age_group,multipack,is bundle,unit_pricing_measure,unit_pricing_base_measure,energy_efficiency_class,min_energy_efficiency_class,max_energy_efficiency,item_group_id,video_link,virtual_model_link,cost_of_goods_sold
mob-mesas-mesa-cuadrada-marmol-blanca,Renta Mesa Cuadrada Mármol Blanca,Renta de Mesa Cuadrada Mármol Blanca para eventos con Bodasesor. Color: Mármol/White | 1.60 × 1.60 m. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $1500.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/mesas/cuadrada,https://bodasesor.com/mesas/cuadrada,https://bodasesor.com/images/mesas/mesa-cuadrada-marmol-blanca.jpg,1500.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Mesas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Mesas,,new,no,Mármol/White,,,,,,,,,,,,,,,mob-mesas-cuadrada,,,
mob-mesas-mesa-redonda-marmol-blanca,Renta Mesa Redonda Mármol Blanca,Renta de Mesa Redonda Mármol Blanca para eventos con Bodasesor. Color: Mármol/White | 1.60 × 1.50 m. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $1500.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/mesas/redonda,https://bodasesor.com/mesas/redonda,https://bodasesor.com/images/mesas/mesa-redonda-caoba.jpg,1500.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Mesas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Mesas,,new,no,Mármol/White,,,,,,,,,,,,,,,mob-mesas-redonda,,,
mob-mesas-mesa-cuadrada-black-trendy,Renta Mesa Cuadrada Black Trendy,Renta de Mesa Cuadrada Black Trendy para eventos con Bodasesor. Color: Black Trendy | 1.60 × 1.60 m. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $900.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/mesas/cuadrada,https://bodasesor.com/mesas/cuadrada,https://bodasesor.com/images/mesas/mesa-cuadrada-marmol-blanca.jpg,900.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Mesas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Mesas,,new,no,Black Trendy,,,,,,,,,,,,,,,mob-mesas-cuadrada,,,
mob-mesas-mesa-cuadrada-marmol-negro,Renta Mesa Cuadrada Mármol Negro,Renta de Mesa Cuadrada Mármol Negro para eventos con Bodasesor. Color: Mármol/Black | 1.60 × 1.60 m. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $1500.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/mesas/cuadrada,https://bodasesor.com/mesas/cuadrada,https://bodasesor.com/images/mesas/mesa-cuadrada-marmol-blanca.jpg,1500.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Mesas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Mesas,,new,no,Mármol/Black,,,,,,,,,,,,,,,mob-mesas-cuadrada,,,
mob-mesas-tablon-marmol-negro,Renta Tablón Mármol Negro,Renta de Tablón Mármol Negro para eventos con Bodasesor. Color: Mármol/Black | 2.40 × 1.20 m. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $1500.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/mesas/tablon,https://bodasesor.com/mesas/tablon,https://bodasesor.com/images/mesas/tablon-caoba-natural.jpg,1500.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Mesas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Mesas,,new,no,Mármol/Black,,,,,,,,,,,,,,,mob-mesas-tablon,,,
mob-mesas-tablon-infantil,Renta Tablón Infantil,Renta de Tablón Infantil para eventos con Bodasesor. Colores: Caoba y Vintage | 0.60 × 1.80 m. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $1300.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/mesas/tablon-infantil,https://bodasesor.com/mesas/tablon-infantil,https://bodasesor.com/images/mesas/tablon-infantil.jpg,1300.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Mesas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Mesas,,new,no,,,,,,,,,,,,,,,,mob-mesas-tablon-infantil,,,
mob-mesas-mesa-picnic-8-personas,Renta Mesa Picnic 8 Personas,Renta de Mesa Picnic 8 Personas para eventos con Bodasesor. 2.30 m × H 66 cm | Diseño plegable. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $1300.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/mesas/picnic,https://bodasesor.com/mesas/picnic,https://bodasesor.com/images/mesas/mesa-picnic.jpg,1300.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Mesas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Mesas,,new,no,,,,,,,,,,,,,,,,mob-mesas-picnic,,,
mob-mesas-mesa-picnic-6-personas,Renta Mesa Picnic 6 Personas,Renta de Mesa Picnic 6 Personas para eventos con Bodasesor. 2.30 m × H 66 cm | Diseño plegable. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $1200.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/mesas/picnic,https://bodasesor.com/mesas/picnic,https://bodasesor.com/images/mesas/mesa-picnic.jpg,1200.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Mesas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Mesas,,new,no,,,,,,,,,,,,,,,,mob-mesas-picnic,,,
mob-mesas-mesa-black-shine,Renta Mesa Black Shine,Renta de Mesa Black Shine para eventos con Bodasesor. Rectangular madera + patas herrería dorada | 2.44 × 1.22 m | 11 uds. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $950.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/mesas/cuadrada,https://bodasesor.com/mesas/cuadrada,https://bodasesor.com/images/mesas/mesa-cuadrada-marmol-blanca.jpg,950.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Mesas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Mesas,,new,no,,,,,,,,,,,,,,,,mob-mesas-cuadrada,,,
mob-mesas-mesa-marmol-rectangular-negra,Renta Mesa Mármol Rectangular Negra,Renta de Mesa Mármol Rectangular Negra para eventos con Bodasesor. 1.22 × 2.44 m | 20 uds. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $1475.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/mesas/tablon,https://bodasesor.com/mesas/tablon,https://bodasesor.com/images/mesas/tablon-caoba-natural.jpg,1475.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Mesas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Mesas,,new,no,,,,,,,,,,,,,,,,mob-mesas-tablon,,,
mob-mesas-mesa-marmol-rectangular-blanca,Renta Mesa Mármol Rectangular Blanca,Renta de Mesa Mármol Rectangular Blanca para eventos con Bodasesor. 1.22 × 2.44 m | 20 uds. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $1475.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/mesas/tablon,https://bodasesor.com/mesas/tablon,https://bodasesor.com/images/mesas/tablon-caoba-natural.jpg,1475.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Mesas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Mesas,,new,no,,,,,,,,,,,,,,,,mob-mesas-tablon,,,
mob-mesas-mesa-espejo-dorada,Renta Mesa Espejo Dorada,Renta de Mesa Espejo Dorada para eventos con Bodasesor. Rectangular dorada | 1 × 2.30 m | 20 uds. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $1700.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/mesas/cuadrada,https://bodasesor.com/mesas/cuadrada,https://bodasesor.com/images/mesas/mesa-cuadrada-marmol-blanca.jpg,1700.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Mesas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Mesas,,new,no,,,,,,,,,,,,,,,,mob-mesas-cuadrada,,,
mob-mesas-mesa-redonda-con-mantel-1-50-m,Renta Mesa Redonda con Mantel (Ø 1.50 m),Renta de Mesa Redonda con Mantel (Ø 1.50 m) para eventos con Bodasesor. 100 uds disponibles | Incluye mantel. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $420.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/mesas/redonda,https://bodasesor.com/mesas/redonda,https://bodasesor.com/images/mesas/mesa-redonda-caoba.jpg,420.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Mesas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Mesas,,new,no,,,,,,,,,,,,,,,,mob-mesas-redonda,,,
mob-sillas-silla-smith,Renta Silla Smith,"Renta de Silla Smith para eventos con Bodasesor. Colores: Negro, Rosa, Beige | Estructura metálica dorada. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $170.00 MXN. Disponible en CDMX y zona metropolitana.",in_stock,,,https://bodasesor.com/sillas/smith,https://bodasesor.com/sillas/smith,https://bodasesor.com/images/mesas/silla-smith.jpg,170.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Sillas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Sillas,,new,no,,,,,,,,,,,,,,,,mob-sillas-smith,,,
mob-sillas-silla-camila,Renta Silla Camila,"Renta de Silla Camila para eventos con Bodasesor. Colores: Negro, Blanco | Diseño contemporáneo wire. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $170.00 MXN. Disponible en CDMX y zona metropolitana.",in_stock,,,https://bodasesor.com/sillas/camila,https://bodasesor.com/sillas/camila,https://bodasesor.com/images/mesas/silla-camila.jpg,170.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Sillas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Sillas,,new,no,,,,,,,,,,,,,,,,mob-sillas-camila,,,
mob-sillas-silla-basket,Renta Silla Basket,"Renta de Silla Basket para eventos con Bodasesor. Colores: Arena, Nude, Gris | Estilo texturizado. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $170.00 MXN. Disponible en CDMX y zona metropolitana.",in_stock,,,https://bodasesor.com/sillas/basket,https://bodasesor.com/sillas/basket,https://bodasesor.com/images/mesas/silla-basket.jpg,170.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Sillas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Sillas,,new,no,,,,,,,,,,,,,,,,mob-sillas-basket,,,
mob-sillas-silla-antonella,Renta Silla Antonella,"Renta de Silla Antonella para eventos con Bodasesor. Colores: Nude, Negra, Rosa/Blanca | Silla oval. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $170.00 MXN. Disponible en CDMX y zona metropolitana.",in_stock,,,https://bodasesor.com/sillas/antonella,https://bodasesor.com/sillas/antonella,https://bodasesor.com/images/mesas/silla-antonella.jpg,170.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Sillas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Sillas,,new,no,,,,,,,,,,,,,,,,mob-sillas-antonella,,,
mob-sillas-silla-cabos,Renta Silla Cabos,"Renta de Silla Cabos para eventos con Bodasesor. Colores: Beige, Negro | Diseño con líneas curvas. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $150.00 MXN. Disponible en CDMX y zona metropolitana.",in_stock,,,https://bodasesor.com/sillas/cabos,https://bodasesor.com/sillas/cabos,https://bodasesor.com/images/instagram/ig44.jpg,150.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Sillas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Sillas,,new,no,,,,,,,,,,,,,,,,mob-sillas-cabos,,,
mob-sillas-silla-caroline,Renta Silla Caroline,Renta de Silla Caroline para eventos con Bodasesor. Color: Negro | Estética minimalista. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $170.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/sillas/caroline,https://bodasesor.com/sillas/caroline,https://bodasesor.com/images/instagram/ig88.jpg,170.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Sillas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Sillas,,new,no,Negro,,,,,,,,,,,,,,,mob-sillas-caroline,,,
mob-sillas-silla-maria,Renta Silla María,Renta de Silla María para eventos con Bodasesor. Color: Negro | Diseño atemporal estructura dorada. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $170.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/sillas/maria,https://bodasesor.com/sillas/maria,https://bodasesor.com/images/instagram/ig90.jpg,170.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Sillas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Sillas,,new,no,Negro,,,,,,,,,,,,,,,mob-sillas-maria,,,
mob-sillas-silla-tolix,Renta Silla Tolix,Renta de Silla Tolix para eventos con Bodasesor. Color: Negro | Clásico industrial metálico. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $195.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/sillas/tolix,https://bodasesor.com/sillas/tolix,https://bodasesor.com/images/mesas/silla-tolix.jpg,195.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Sillas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Sillas,,new,no,Negro,,,,,,,,,,,,,,,mob-sillas-tolix,,,
mob-sillas-silla-avant-garde,Renta Silla Avant Garde,Renta de Silla Avant Garde para eventos con Bodasesor. Color: Natural | Madera plegable con cojín. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $70.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/sillas/avant-garde,https://bodasesor.com/sillas/avant-garde,https://bodasesor.com/images/mesas/silla-avant-garde.jpg,70.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Sillas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Sillas,,new,no,Natural,,,,,,,,,,,,,,,mob-sillas-avant-garde,,,
mob-sillas-silla-crossback,Renta Silla Crossback,Renta de Silla Crossback para eventos con Bodasesor. Color: Caoba / Natural | Respaldo en X. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $95.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/sillas/crossback,https://bodasesor.com/sillas/crossback,https://bodasesor.com/images/mesas/silla-crossback.jpg,95.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Sillas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Sillas,,new,no,Caoba / Natural,,,,,,,,,,,,,,,mob-sillas-crossback,,,
mob-sillas-silla-wishbone,Renta Silla Wishbone,"Renta de Silla Wishbone para eventos con Bodasesor. Color: Natural | Icono escandinavo, respaldo en Y. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $200.00 MXN. Disponible en CDMX y zona metropolitana.",in_stock,,,https://bodasesor.com/sillas/wishbone,https://bodasesor.com/sillas/wishbone,https://bodasesor.com/images/mesas/silla-wishbone.jpg,200.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Sillas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Sillas,,new,no,Natural,,,,,,,,,,,,,,,mob-sillas-wishbone,,,
mob-sillas-silla-louis-xv,Renta Silla Louis XV,Renta de Silla Louis XV para eventos con Bodasesor. Color: Beige | Estilo francés siglo XVIII. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $200.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/sillas/louis-xv,https://bodasesor.com/sillas/louis-xv,https://bodasesor.com/images/mesas/silla-louis-xv.jpg,200.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Sillas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Sillas,,new,no,Beige,,,,,,,,,,,,,,,mob-sillas-louis-xv,,,
mob-sillas-silla-mariantonieta,Renta Silla Mariantonieta,"Renta de Silla Mariantonieta para eventos con Bodasesor. Colores: Negro, Natural, Caoba | Oval tapizado. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $200.00 MXN. Disponible en CDMX y zona metropolitana.",in_stock,,,https://bodasesor.com/sillas/mariantonieta,https://bodasesor.com/sillas/mariantonieta,https://bodasesor.com/images/mesas/silla-mariantonieta.jpg,200.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Sillas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Sillas,,new,no,,,,,,,,,,,,,,,,mob-sillas-mariantonieta,,,
mob-sillas-sillon-de-novios,Renta Sillón de Novios,Renta de Sillón de Novios para eventos con Bodasesor. Color: Beige/Crema | Mesa principal boda. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $610.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/sillas/sillon-novios,https://bodasesor.com/sillas/sillon-novios,https://bodasesor.com/images/mesas/sillon-novios.jpg,610.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Sillas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Sillas,,new,no,Beige/Crema,,,,,,,,,,,,,,,mob-sillas-sillon-novios,,,
mob-sillas-silla-tiffany,Renta Silla Tiffany,"Renta de Silla Tiffany para eventos con Bodasesor. Colores: Blanco, Negro, Chocolate, Gris, Dorado. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $45.00 MXN. Disponible en CDMX y zona metropolitana.",in_stock,,,https://bodasesor.com/sillas/tiffany,https://bodasesor.com/sillas/tiffany,https://bodasesor.com/images/mesas/silla-tiffany.jpg,45.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Sillas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Sillas,,new,no,,,,,,,,,,,,,,,,mob-sillas-tiffany,,,
mob-sillas-silla-tiffany-infantil,Renta Silla Tiffany Infantil,Renta de Silla Tiffany Infantil para eventos con Bodasesor. Color: Blanco | Tamaño para niños. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $25.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/sillas/tiffany-infantil,https://bodasesor.com/sillas/tiffany-infantil,https://bodasesor.com/images/mesas/silla-tiffany-infantil.jpg,25.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Sillas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Sillas,,new,no,Blanco,,,,,,,,,,,,,,,mob-sillas-tiffany-infantil,,,
mob-sillas-silla-ghost,Renta Silla Ghost,Renta de Silla Ghost para eventos con Bodasesor. Transparente | Acrílico contemporáneo. Precio mínimo de salida desde $3500.00 MXN. Precio de renta de referencia: $150.00 MXN. Disponible en CDMX y zona metropolitana.,in_stock,,,https://bodasesor.com/sillas/ghost,https://bodasesor.com/sillas/ghost,https://bodasesor.com/images/mesas/silla-ghost.jpg,150.00 MXN,,,no,,,Bodasesor,"""Renta de mobiliario"", ""Categoría Sillas"", ""CDMX y zona metropolitana""",Categoría:mobiliario:Sillas,,new,no,,,,,,,,,,,,,,,,mob-sillas-ghost,,,
